caseid,totalnewsbinary,totalnewscount,totalnewsfncount2016def,totalvisits,totalProTrumpFNbinary_ag80,totalProClintonFNbinary_ag80,totalProTrumpFNcount_ag80,totalProClintonFNcount_ag80,totalFakeNewsbinary,totalFakeNewscount,mfb,diet_mean,weight,decile,totalnewsfncount2018def,totalProRepFNbinary,totalProDemFNbinary,totalProRepFNcount,totalProDemFNcount,totalfakebinary18,totalfakecount18
416652519,1,176,176,21621,0,0,0,0,0,0,0.025854493316682856,0.31294649122807017,0.831390212187858,10,105,0,0,0,0,0,0
416652521,1,88,88,29552,0,0,0,0,0,0,0.02169057931781267,-0.06511036585365854,0.330368839767455,3,44,0,0,0,0,0,0
416652522,1,182,182,10618,0,0,0,0,0,0,0.036824260689395365,0.019991975308641975,0.396591407118776,6,77,0,0,0,0,0,0
416652525,1,30,30,18516,0,0,0,0,0,0,0.07571829768848563,0.056055707106963386,0.763512550087712,8,13,0,0,0,0,0,0
416652541,1,149,149,6565,0,0,0,0,0,0,0.056816450875856815,-0.05154478764478765,0.815488853760153,4,70,0,0,0,0,0,0
416652548,1,7,7,4399,0,0,0,0,0,0,0.08524664696521937,-0.05296451612903227,0.516556994857549,3,7,0,0,0,0,0,0
416663953,1,8,17,290,1,0,9,0,1,9,0.07241379310344828,-0.06416923076923077,0.494544771514758,3,17,1,0,9,0,1,9
416666288,1,7,7,13138,0,0,0,0,0,0,0.09689450449079007,0.010709090909090911,0.532059063743996,5,5,0,0,0,0,0,0
416666292,1,3531,3531,24740,0,0,0,0,0,0,0.012206952303961197,-0.48896635835095137,0.516556994857549,1,463,0,0,0,0,0,0
416666294,1,70,70,14429,0,0,0,0,0,0,0.14514452069037223,-0.15774594594594596,0.510046349388695,2,55,0,0,0,0,0,0
416666296,1,17,17,2355,0,0,0,0,0,0,0.04543524416135881,-0.09438181818181818,0.531629077456976,3,11,0,0,0,0,0,0
416666299,1,4,4,10259,0,0,0,0,0,0,0.057997855541475775,-0.021746153846153853,0.555390402679295,4,1,0,0,0,0,0,0
416666305,1,171,171,8174,0,0,0,0,0,0,0.05480792757523856,-0.01648010380622838,0.648616977454825,4,15,0,0,0,0,0,0
416666315,1,614,614,29125,0,0,0,0,0,0,0.016206008583690985,-0.13862510586811858,0.349070504274795,2,115,0,0,0,0,0,0
416666322,1,7,7,1986,0,0,0,0,0,0,0.051863041289023165,-0.002425000000000001,0.763512550087712,5,0,0,0,0,0,0,0
416666324,1,109,109,11962,0,0,0,0,0,0,0.018893161678649056,-0.03195683453237411,0.286281333731061,4,41,0,0,0,0,0,0
416666329,1,2454,2454,10218,0,0,0,0,0,0,0.0015761993892227366,-0.4210423063800751,0.444391075121961,1,1075,0,0,0,0,0,0
416666345,1,216,216,10270,0,0,0,0,0,0,0.2062317429406037,-0.08443877675840979,1.90184177874807,3,61,0,0,0,0,0,0
416666347,1,130,130,4447,0,0,0,0,0,0,0.037561853351327036,-0.2555680412371134,0.657613048067238,1,64,0,0,0,0,0,0
416666355,1,110,110,5282,0,0,0,0,0,0,0.028793332070467893,-0.26952615384615386,0.349070504274795,1,34,0,0,0,0,0,0
416678686,0,0,0,253,0,0,0,0,0,0,0,0.0634,0.5048884956917,9,0,0,0,0,0,0,0
416678873,0,0,0,586,0,0,0,0,0,0,0,0.0362,0.763512550087712,7,0,0,0,0,0,0,0
416679163,1,1,1,34,0,0,0,0,0,0,0.08823529411764706,-0.2139,0.510046349388695,2,1,0,0,0,0,0,0
416679274,1,32,32,6345,0,0,0,0,0,0,0.045074862096138694,0.07877990654205608,0.522540179336023,9,15,0,0,0,0,0,0
416679278,1,4,4,907,0,0,0,0,0,0,0.0926130099228225,0.12504615384615386,0.773057551814558,9,2,0,0,0,0,0,0
416680082,1,53,53,1394,0,0,0,0,0,0,0,0.0435298245614035,0.773258643811547,8,13,0,0,0,0,0,0
416681048,1,123,126,6342,1,0,3,0,1,3,0.06228319142226427,0.08148494041170098,0.522540179336023,9,106,1,0,3,0,1,3
416685134,1,89,89,11763,0,0,0,0,0,0,0.024143500807617103,0.02436639004149378,0.401549368406205,6,37,0,0,0,0,0,0
416685519,1,46,46,2346,0,0,0,0,0,0,0.02514919011082694,-0.007573333333333331,0.522540179336023,5,41,0,0,0,0,0,0
416685538,1,246,246,6229,0,0,0,0,0,0,0.038783392339877695,-0.06151749271137027,0.593676470687514,3,149,0,0,0,0,0,0
416685540,1,3,3,165,0,0,0,0,0,0,0,-0.12031666666666667,0.526678606041984,2,3,0,0,0,0,0,0
416685542,1,37,37,1735,0,0,0,0,0,0,0.03861671469740634,-0.057241,0.727829848857761,3,7,0,0,0,0,0,0
416685558,1,287,287,12477,0,0,0,0,0,0,0.08183056824557185,0.05467690582959641,0.665230058815727,8,41,0,0,0,0,0,0
416685610,1,853,853,17566,0,0,0,0,0,0,0.05618809062962541,-0.13069928789420143,0.420582553074952,2,551,0,0,0,0,0,0
416694500,1,87,87,3555,0,0,0,0,0,0,0.01209563994374121,-0.042222556390977446,0.33470059118549,4,29,0,0,0,0,0,0
416695323,1,25,25,431,0,0,0,0,0,0,0,0.49169259259259257,0.765239992182193,10,20,0,0,0,0,0,0
416698857,1,8,8,161,0,0,0,0,0,0,0.012422360248447204,-0.040662500000000004,0.826329945174466,4,8,0,0,0,0,0,0
416700256,0,0,0,751,0,0,0,0,0,0,0.06125166444740346,0.06221739130434782,1.90184177874807,9,0,0,0,0,0,0,0
416700774,1,16,16,5856,0,0,0,0,0,0,0.023224043715846996,-0.5413125,0.658250992096331,1,8,0,0,0,0,0,0
416701767,1,9,9,738,0,0,0,0,0,0,0,-0.13856153846153846,0.593676470687514,2,3,0,0,0,0,0,0
416701773,1,274,274,4214,0,0,0,0,0,0,0.05790223065970574,-0.6754408099688474,0.453368515787843,1,274,0,0,0,0,0,0
416701774,1,1,1,1955,0,0,0,0,0,0,0.3207161125319693,0.028412698412698414,0.603321598519808,6,1,0,0,0,0,0,0
416701779,1,11,11,34686,0,0,0,0,0,0,0.06417759838546923,0.024217475728155344,0.552010011987856,6,0,0,0,0,0,0,0
416701780,1,1,1,3357,0,0,0,0,0,0,0.026213881441763478,0.011662500000000003,0.532059063743996,5,1,0,0,0,0,0,0
416701782,1,6,6,58500,0,0,0,0,0,0,0.011196581196581195,0.021071830985915495,0.516422660144984,6,0,0,0,0,0,0,0
416701787,1,1,1,63,0,0,0,0,0,0,0.06349206349206349,-0.2683,0.349070504274795,1,1,0,0,0,0,0,0
416701794,0,0,0,29,0,0,0,0,0,0,0,NaN,0.388975082775889,NA,0,0,0,0,0,0,0
416701800,1,14,14,2873,0,0,0,0,0,0,0.07239819004524888,0.05018396226415094,1.0259091988161,8,7,0,0,0,0,0,0
416701801,1,17,17,6712,0,0,0,0,0,0,0.10965435041716329,0.06460526315789474,0.831390212187858,9,12,0,0,0,0,0,0
416701805,1,3,3,11118,0,0,0,0,0,0,0.14561971577621874,0.06642442159383033,0.388975082775889,9,2,0,0,0,0,0,0
416701812,0,0,0,134,0,0,0,0,0,0,0,NaN,0.290031484106203,NA,0,0,0,0,0,0,0
416701814,1,10,10,1902,0,0,0,0,0,0,0.0015772870662460567,0.45629473684210525,0.526678606041984,10,0,0,0,0,0,0,0
416701816,1,400,432,78172,1,0,32,0,1,32,0.027695338484367806,0.3260005328596803,1.19185664026586,10,289,1,0,23,0,1,23
416701817,1,237,237,12065,0,0,0,0,0,0,0.0322420223787816,0.42022044728434504,0.290031484106203,10,150,0,0,0,0,0,0
416702510,0,0,0,559,0,0,0,0,0,0,0,0.0362,1.78505377041352,7,0,0,0,0,0,0,0
416714181,1,783,783,20957,0,0,0,0,0,0,0.053156463234241544,0.4620962138084633,0.629589953943458,10,384,0,0,0,0,0,0
416715370,1,97,97,5064,0,0,0,0,0,0,0.034360189573459717,-0.07184645669291338,0.763512550087712,3,35,0,0,0,0,0,0
416715395,1,1,1,161,0,0,0,0,0,0,0,-0.1668,0.555462290543169,2,1,0,0,0,0,0,0
416715411,1,406,406,3341,0,0,0,0,0,0,0.12780604609398383,0.6341538631346578,0.511200325880593,10,396,0,0,0,0,0,0
