totalfakebinary18_presurvey,pol_therm_media,pol_therm_media_w2,massmedia_trust,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight
0,20,5,1,1,0,0,NA,4,1,80,3,0,0,0.738741618
NA,38,NA,2,NA,78,NA,0,6,3,72,3,0,0,0.864147231
0,90,82,4,3,0,0,NA,4,5,0,4,0,1,0.936410427
0,0,0,2,2,90,91,0,7,5,96,2,0,0,1.02236311
1,45,60,2,2,85,85,0,2,1,95,4,0,0,0.852636109
0,91,61,3,3,93,88,1,1,5,0,3,0,1,0.925225015
0,94,94,4,4,43,30,1,3,4,2,4,0,1,0.925225015
1,1,33,2,2,98,97,0,7,5,100,2,0,0,1.112716896
0,97,71,4,4,80,39,1,1,5,6,4,0,1,0.872701801
0,1,5,2,2,0,0,NA,7,5,100,3,0,0,0.907469147
0,57,70,3,3,38,51,1,4,4,32,3,1,1,1.065367566
0,74,87,3,3,82,87,1,1,4,1,2,0,1,0.83118332
0,31,22,1,2,0,57,0,7,5,31,4,0,1,0.808827312
0,21,86,3,3,53,43,1,5,1,31,4,1,0,0.98212987
1,6,2,2,1,80,80,0,7,5,100,3,1,0,0.959480975
0,46,66,2,3,84,88,1,2,5,0,4,1,1,0.925617589
NA,5,11,2,2,10,25,0,4,4,90,4,0,1,1.057211478
NA,10,0,2,2,88,75,0,7,5,100,4,0,1,0.99719565
NA,47,0,2,1,79,86,0,6,3,78,3,0,0,0.864147231
0,53,71,3,3,57,85,0,5,3,69,2,0,1,0.949754418
NA,99,0,1,2,1,99,0,7,5,100,4,0,0,1.029756452
NA,70,79,3,3,0,0,NA,1,4,0,4,0,1,0.99719565
NA,69,67,3,3,50,31,1,4,5,3,4,0,1,0.526444862
0,33,55,3,3,76,79,1,1,4,0,4,0,1,0.914362713
NA,80,95,4,4,21,39,1,3,5,1,4,0,0,0.920449438
0,72,80,3,3,69,70,1,2,5,0,3,0,1,0.967667874
NA,46,32,2,2,0,0,NA,6,2,70,4,0,0,0.903834928
NA,98,100,3,4,99,99,1,2,5,1,4,0,1,0.925225015
NA,72,85,4,3,41,44,1,1,5,0,4,0,1,0.707850111
NA,0,1,1,1,80,50,0,4,2,100,3,0,0,0.918460714
0,72,47,3,2,88,89,1,2,4,2,3,1,1,0.832472088
0,47,30,2,2,79,74,0,6,2,97,3,0,0,0.864147231
0,90,91,3,3,49,64,1,2,3,0,3,0,0,0.738988461
0,16,17,1,2,51,54,0,7,2,76,3,0,0,0.937815785
0,50,35,2,3,0,0,NA,1,5,0,3,1,0,0.455343212
0,25,35,2,2,70,65,0,7,5,95,4,0,0,0.969135818
0,0,6,1,1,67,84,0,6,5,75,4,0,1,0.808827312
0,70,NA,3,NA,40,NA,1,3,4,0,2,0,0,0.821391691
0,81,NA,4,NA,67,NA,1,4,5,3,3,0,0,1.067444486
0,23,22,1,2,13,19,1,2,3,30,3,0,0,0.756263673
1,6,NA,1,NA,89,NA,0,7,5,100,3,0,0,0.907469147
1,69,62,3,3,0,0,NA,2,3,50,3,0,0,0.794477911
0,5,10,2,2,26,6,0,7,4,71,4,0,0,1.036587905
0,46,58,3,3,2,0,1,6,4,55,4,0,0,0.891227375
1,22,31,2,2,61,58,0,7,5,87,4,0,1,1.016821451
0,10,4,1,1,0,0,NA,4,5,50,3,0,1,1.199970645
0,NA,NA,1,1,NA,NA,NA,4,0,NA,3,0,0,0.665414714
0,10,7,1,3,0,0,NA,4,3,41,4,0,1,0.936635162
0,5,NA,1,NA,50,NA,0,6,5,90,4,0,0,0.901789007
0,16,38,2,2,37,26,1,2,2,4,3,0,0,0.756263673
0,90,NA,4,NA,60,NA,1,4,5,0,4,0,0,0.918200701
NA,2,2,1,1,0,0,NA,4,3,100,4,0,1,0.808827312
0,1,10,2,1,70,60,0,6,5,95,3,0,1,1.199970645
NA,3,0,1,1,84,80,0,7,5,93,4,0,1,0.964984401
NA,68,73,3,3,42,-20,0,2,4,79,2,1,1,0.993399318
0,66,NA,2,NA,90,NA,0,6,2,98,3,0,0,0.918200701
0,23,26,2,2,40,57,0,7,5,88,3,0,0,0.937815785
0,71,70,3,3,61,65,1,2,4,15,3,0,0,0.820735153
0,91,97,4,3,46,44,1,2,4,15,4,0,1,0.914362713
NA,88,82,3,3,89,100,1,1,4,0,4,0,0,0.803568893
0,40,25,3,3,50,44,0,6,1,85,3,0,0,0.937815785
0,69,100,4,3,61,0,0,7,1,98,2,0,0,1.112716896
NA,60,NA,2,NA,70,NA,1,1,2,0,2,0,1,0.83118332
0,9,12,2,2,87,63,0,6,5,98,4,0,0,0.920393544
0,15,NA,2,NA,75,NA,0,7,4,95,4,0,0,0.920393544
0,3,2,2,1,0,0,NA,5,2,61,3,0,0,0.918200701
0,49,56,3,3,50,54,1,4,5,0,4,1,1,1.014113333
0,40,30,2,2,60,59,1,1,4,0,4,0,1,0.862565331
1,20,56,2,3,62,56,0,7,5,88,4,0,0,0.834518064
0,9,3,2,2,0,0,NA,4,1,5,2,0,0,1.084453195
0,89,84,3,3,0,0,NA,4,3,5,4,0,1,0.92329157
NA,31,13,2,2,71,55,0,5,5,86,4,0,1,0.917031489
0,15,5,2,2,40,20,0,4,4,85,4,0,1,0.808827312
NA,65,72,4,4,42,48,1,2,5,1,4,1,1,1.014113333
0,50,76,3,3,55,78,1,3,5,7,4,0,1,0.844511932
0,60,70,3,2,71,78,1,1,5,1,3,0,0,0.70370969
0,75,NA,3,NA,0,NA,NA,4,1,2,2,0,0,0.751644643
0,99,73,3,4,97,86,1,2,4,2,3,0,0,0.738988461
0,81,86,3,3,38,69,1,1,4,15,3,0,1,1.028196687
0,61,70,3,3,70,86,1,2,4,0,3,0,0,0.803568893
0,74,75,3,3,0,0,NA,2,3,0,4,0,0,0.867622971
0,7,32,2,2,57,31,0,7,4,75,4,0,0,0.88878483
0,0,3,1,1,2,27,0,4,5,99,4,0,1,0.808827312
