totalfakebinary18_pre,pol_therm_media,pol_therm_media_w2,massmedia_trust,mis_pro_r_false,mis_pro_d_false,proD_fake,proR_fake,vote_binary,vote_combined,polact_mean,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight,control_fake
NA,0,0,1,4,1,1,0,1,4,3.400000095,4,0,0,NA,7,3,100,3,0,0,0.884194922,0
0,24,3,2,4,2,0,0,1,4,3,1,0,0,NA,4,5,53,3,1,1,1.311483824,1
NA,39,17,3,2,4,0,1,0,1,2.599999905,3,NA,0,NA,4,5,1,1,1,1,2.909782832,0
0,2,13,1,3,1,0,1,1,4,3.799999952,2,0,0,NA,4,5,90,3,0,1,0.416809511,0
NA,50,NA,2,3,3,1,0,0,1,1,3,NA,NA,NA,5,3,0,4,0,0,0.677599693,0
0,80,95,3,1,2,0,0,1,4,3.599999905,3,0,0,NA,4,4,0,2,0,1,0.523934323,1
0,8,NA,1,3,2,0,0,0,0,NA,NA,0,NA,NA,4,2,46,3,0,0,0.707859625,0
0,53,70,4,1,4,0,0,1,4,1.600000024,3,0,0,NA,2,5,2,3,1,1,0.524045481,1
0,21,11,1,4,1,0,0,1,4,3,1,0,0,NA,6,5,87,4,0,1,0.368062392,1
0,11,10,2,3,3,0,0,1,4,2.400000095,2,0,0,NA,4,5,78,4,0,1,0.483162167,1
0,44,38,2,2,2,0,0,1,4,1.799999952,2,0,0,NA,4,4,5,2,0,0,0.574654459,1
NA,10,12,2,1,2,0,1,1,4,1,1,0,0,NA,4,1,95,4,0,0,0.977862599,0
0,50,80,3,1,4,0,1,1,4,3,3,0,0,NA,1,4,0,3,0,1,0.455433712,0
0,20,13,2,1,2,1,0,1,4,1.399999976,2,0,0,NA,4,5,6,2,0,1,0.604435249,0
NA,50,NA,3,1,3,0,0,0,0,NA,NA,0,NA,NA,4,0,1,2,1,0,7.052114363,0
0,11,0,2,3,3,0,0,1,4,3.200000048,2,0,0,NA,6,5,0,3,1,0,0.662192811,1
0,95,100,4,1,2,0,1,1,4,5,4,0,0,NA,4,4,0,3,0,1,0.433182367,0
0,28,47,2,3,1,1,0,0,1,2.200000048,2,0,0,NA,4,1,60,4,0,0,4.357992717,0
0,63,79,2,2,1,1,0,0,1,1.799999952,3,0,0,NA,4,3,5,2,1,1,0.695068915,0
0,98,97,4,2,3,1,0,1,4,3.599999905,3,0,0,NA,4,2,1,3,0,1,0.433182367,0
0,55,75,3,1,2,1,0,1,4,1.799999952,4,0,0,NA,3,5,0,2,1,0,0.448024711,0
NA,3,2,1,1,3,0,0,0,1,1,1,0,0,NA,4,2,2,2,1,0,6.423994603,1
NA,17,NA,2,1,2,0,0,0,0,NA,NA,0,NA,NA,4,3,0,2,1,1,1.03533837,0
NA,54,41,2,2,2,0,1,1,4,1.200000048,2,0,0,NA,4,3,55,2,0,1,0.460832891,0
NA,51,69,3,3,1,1,0,1,4,1,3,0,0,NA,6,5,16,3,1,0,1.990951138,0
0,49,21,3,1,3,0,0,1,4,1,2,0,0,NA,1,2,0,2,0,1,0.327778981,1
0,31,3,3,1,3,0,1,0,1,1,2,0,0,NA,4,3,0,2,0,0,0.898168306,0
0,71,88,3,2,3,0,1,1,4,5,3,0,0,NA,1,3,0,2,0,1,0.38079812,0
0,5,7,2,3,1,0,1,1,3,1.600000024,2,0,NA,NA,6,5,91,4,0,1,0.37512272,0
0,0,5,1,4,1,0,0,1,4,2.200000048,1,0,0,NA,7,3,100,3,0,0,1.408688254,1
0,20,NA,2,1,2,0,0,0,0,NA,NA,0,NA,NA,2,4,1,2,0,0,0.856531086,0
0,57,54,3,4,4,0,1,0,1,2.400000095,4,0,0,NA,3,1,100,1,0,0,0.868023185,0
0,24,25,2,2,2,0,0,1,4,1,2,0,0,NA,4,4,57,4,0,0,0.795426328,1
0,44,43,2,1,4,0,0,0,2,1,2,0,0,NA,5,1,40,1,0,1,1.195806838,1
NA,3,6,2,4,4,0,0,0,1,1.200000048,2,0,0,NA,1,0,0,2,1,0,0.78911356,1
0,31,NA,2,4,4,0,0,0,0,NA,NA,NA,NA,NA,4,1,80,1,0,0,1.080639059,0
NA,51,47,3,3,1,0,1,1,4,1,3,0,0,NA,4,5,0,4,0,0,0.584439303,0
NA,31,20,2,2,3,0,1,0,1,1,2,0,0,NA,5,3,59,3,0,0,2.653011692,0
1,25,31,2,3,2,0,1,1,4,1.200000048,2,0,0,NA,4,5,9,4,0,1,0.232408082,0
0,20,15,1,3,2,0,1,1,4,1,2,0,0,NA,5,5,75,3,0,1,0.688152692,0
0,49,52,2,4,1,1,0,0,1,1,2,0,0,NA,6,2,80,4,0,0,0.560607576,0
0,10,NA,2,3,2,0,0,0,0,NA,NA,0,NA,NA,6,5,95,4,1,0,3.620433343,0
