totalfakebinary18_pre,pol_therm_media,misinform_soros_w2,misinform_jamal_w2,pol_therm_media_w2,massmedia_trust,mis_pro_r_false,mis_pro_d_false,proD_fake,proR_fake,vote_binary_w2,vote_combined_w2,polact_mean,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight,control_fake
0,45,2,3,50,2,2,3,0,1,1,4,1,3,0,0,NA,3,4,0,2,0,0,0.380432368,0
NA,51,1,3,61,3,2,2,1,0,1,5,1,3,0,0,NA,4,5,3,3,0,1,0.285712677,0
0,20,4,1,21,1,4,2,0,0,1,4,2.599999905,2,0,0,NA,6,4,91,4,0,0,0.494744459,1
0,80,3,4,51,4,3,4,0,0,1,5,2.599999905,4,0,0,NA,2,3,27,1,1,0,1.002069963,1
NA,48,4,4,44,2,3,3,0,1,1,5,1,2,0,0,NA,3,2,0,2,1,0,0.332369278,0
0,59,NA,NA,NA,2,2,1,0,0,0,0,1.200000048,NA,0,NA,NA,4,2,31,2,0,1,0.768467138,0
0,4,1,1,21,1,4,4,0,1,0,1,1,1,0,0,NA,4,1,74,3,0,0,0.753956286,0
0,17,1,1,26,2,3,1,0,0,0,3,1.799999952,2,0,0,NA,4,2,27,3,0,0,0.350628423,1
0,3,1,1,2,1,4,1,1,0,0,1,1.600000024,1,0,0,NA,4,5,94,3,1,0,0.868412126,0
NA,0,3,1,0,1,4,2,1,0,1,4,2.599999905,2,0,0,NA,7,5,97,4,0,1,0.67243015,0
0,42,4,1,2,2,4,1,0,0,1,5,3,1,0,0,NA,4,3,100,4,0,0,1.543801321,1
0,44,2,2,56,3,1,2,0,0,0,1,1,3,0,0,NA,4,3,39,1,1,0,0.905041995,1
0,12,3,1,22,2,3,1,1,0,1,4,2.200000048,2,0,0,NA,6,3,85,4,0,0,0.633906139,0
0,50,2,1,41,2,3,2,0,0,1,4,1.799999952,2,0,0,NA,4,3,50,1,0,1,1.949796937,1
0,10,4,1,4,2,2,2,0,0,1,5,2.200000048,2,0,0,NA,4,2,60,3,0,0,0.320352782,1
NA,NA,3,2,NA,2,2,3,0,0,0,1,1,2,NA,NA,NA,4,1,NA,2,0,0,0.861194299,1
0,92,2,2,65,3,2,4,1,0,1,4,4,3,0,0,NA,4,1,99,2,1,0,1.705850608,0
